,color_features_water_ratio,color_features_terrain_ratio,color_features_transport_ratio,color_features_settlements_ratio,color_features_boundaries_ratio,texture_features_mean_intensity,texture_features_std_intensity,texture_features_gradient_mean,symbol_features_water_matches,symbol_features_water_max_conf,symbol_features_water_mean_conf,symbol_features_terrain_matches,symbol_features_terrain_max_conf,symbol_features_terrain_mean_conf,symbol_features_transport_matches,symbol_features_transport_max_conf,symbol_features_transport_mean_conf,symbol_features_settlements_matches,symbol_features_settlements_max_conf,symbol_features_settlements_mean_conf,symbol_features_boundaries_matches,symbol_features_boundaries_max_conf,symbol_features_boundaries_mean_conf,line_features_total_lines,line_features_avg_length,line_features_std_length,line_features_angle_bin_0,line_features_angle_bin_1,line_features_angle_bin_2,line_features_angle_bin_3,line_features_angle_bin_4,line_features_angle_bin_5
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
mean,0.0015919732596690157,0.09490061710137598,0.010084451748691076,0.010653776596975138,0.2728107696021564,207.18580763002524,65.33884021394762,165.95489732249553,517.8730158730159,0.8277003169059753,0.81232088804245,137616.0634920635,0.9708894491195679,0.8345462083816528,3565.6031746031745,0.9319689869880676,0.8256698250770569,7002.920634920635,0.9367179870605469,0.825946033000946,681.952380952381,0.8998669385910034,0.8170543909072876,747.1904761904761,207.52053976971038,167.9431456988427,0.35987739270440716,0.3192401666493521,0.22784115590642895,0.09304128473981178,0.0,0.0
std,0.0028368214829759355,0.10317355424201057,0.005502367942208331,0.0057316499598574185,0.0830750701929741,9.511676544175614,5.270724744869018,29.07575445626918,365.6740789310177,0.010832375846803188,0.003212413750588894,39085.229090958106,0.006745435297489166,0.001811260706745088,1520.300135262798,0.012408146634697914,0.0039777630008757114,2742.530249791048,0.02189568430185318,0.0034542581997811794,404.63154998620615,0.015954632312059402,0.003779865801334381,625.2143853509527,59.662164140516886,70.60841021134598,0.16408237063019676,0.19298327889133968,0.10599361996473382,0.06257775912107087,0.0,0.0
min,0.0,0.01029105722980269,0.00199666241287916,0.0027790320997349563,0.11019731029743791,180.09948954549915,51.759671473619704,101.32234810407878,24.0,0.8065339922904968,0.8026517033576965,45180.0,0.950614333152771,0.8301383256912231,752.0,0.8943538069725037,0.8155646324157715,2668.0,0.8677676916122437,0.8172765374183655,67.0,0.8469012975692749,0.8091042041778564,235.0,160.92740755972733,62.57860026069202,0.04733432984554061,0.08125,0.03006012024048096,0.017034068136272545,0.0,0.0
25%,1.7365469109596987e-05,0.03503020786643521,0.006579528456457163,0.0068064385108450405,0.20671050053250595,200.3333357464359,61.93259747851397,145.4166659907035,305.0,0.8231613337993622,0.8105749189853668,117973.5,0.9668558537960052,0.8330666124820709,2580.5,0.926098108291626,0.8231722116470337,5004.5,0.9249723851680756,0.823371946811676,418.0,0.8935349583625793,0.8144643008708954,358.0,176.13460970999495,114.39812373412802,0.22321963948412119,0.17373283669295939,0.14680694774172748,0.047500622380814074,0.0,0.0
50%,0.00024987370513816385,0.04959205068599298,0.009431394341257582,0.010180168485204593,0.2687508539910079,209.01720326139505,65.88202100283823,167.7743660884161,499.0,0.8263664245605469,0.8131736516952515,140642.0,0.9714984893798828,0.8348844647407532,3454.0,0.9322871565818787,0.8256210088729858,6575.0,0.9424159526824951,0.8261831402778625,626.0,0.9002305865287781,0.8174810409545898,461.0,188.1597888611986,157.2565036494205,0.34558823529411764,0.2777777777777778,0.22384428223844283,0.0812720848056537,0.0,0.0
75%,0.0018443825091102204,0.11874159878429752,0.012449139770401744,0.012980078096697142,0.3251322127338648,213.99478573645717,68.96151147150212,183.47335795033047,677.5,0.8294368088245392,0.8143705129623413,164511.5,0.9758848249912262,0.8357992470264435,4530.5,0.9396515190601349,0.8281907439231873,8909.5,0.9458740055561066,0.8284145593643188,978.5,0.906129390001297,0.8199418783187866,796.5,207.5892151099635,211.62932189278854,0.488616183615346,0.4166209205201068,0.29129714938335005,0.1188609765285048,0.0,0.0
max,0.015675500969618616,0.4959150371484571,0.029963329197985843,0.03362630445887762,0.5341066744170079,224.58832825088473,77.63848332407922,235.03445714616944,2387.0,0.8927674293518066,0.8171642422676086,233105.0,0.9817948341369629,0.8379184603691101,8356.0,0.9652537107467651,0.8344684839248657,13879.0,0.9837408065795898,0.8340373635292053,1991.0,0.9422822594642639,0.8243493437767029,2509.0,487.9572777678765,404.4295943384587,0.7451820128479657,0.8486973947895792,0.5018028846153846,0.315625,0.0,0.0
